plot_code,plot_mean_alphadiv,plot_total_alphadiv,location,Latitude_GIS,Longitude_GIS,Canopy_Height,Distance_to_path,DTM,Groundwater,Infrared,NDVI,pH,Precipitation,Soil_Organic_Matter,Temp_max,Temp_mean,Temp_min,soilcode,landcover,USP_location
1,5.333333333,16,USP,52.08793428,5.164190778,4.037569944,4.268246616,2.766464167,30.07692308,135.9041444,0.23348249,5.315258875,885.8012085,10.49356614,14.45297432,10.42335033,6.217999458,urban_soil,gesloten verharding,USP BLUE
2,0.666666667,2,USP,52.08803803,5.167075707,2.169059011,6.658805729,2.406623108,34.14285714,126.8626345,0.154171124,5.400359201,885.8012085,9.162176523,14.45498085,10.4211669,6.213258028,urban_soil,onverhard,USP BLUE
3,4.666666667,13,USP,52.08645127,5.165781,1.714399364,10.99782499,2.161045325,26.72727273,155.9804713,0.250143773,5.318246383,885.8012085,9.459523183,14.45297432,10.42335033,6.217999458,urban_soil,grasland agrarisch,USP BLUE
5,0.333333333,0,USP,52.08835484,5.175730962,2.414012739,17.98599528,2.073952358,42.92307692,147.9171901,0.263545588,5.363768393,886.7701416,6.950762379,14.45698738,10.41898346,6.208516598,urban_soil,groenvoorziening,USP BLUE
6,6,12,USP,52.08702343,5.174411,1.409849087,13.5904424,1.888513209,32.15384615,158.8162405,0.30235606,5.492788523,885.8012085,7.254624714,14.45698738,10.41898346,6.208516598,urban_soil,grasland overig,USP BLUE
7,0,0,USP,52.08374221,5.168938066,0.323272438,18.94418375,2.211793532,23.16666667,139.8298213,0.172357581,5.761476694,884.8322754,7.39055397,14.45592904,10.42066717,6.210682034,urban_soil,BGT pand,USP BLUE
8,8.666666667,25,USP,52.08359157,5.171847115,3.170517928,9.219169324,2.081125281,25.46153846,130.9609908,0.19096259,5.669290922,884.8322754,7.533618236,14.4579978,10.41850328,6.205925941,urban_soil,groenvoorziening,USP BLUE
9,20.5,30,USP,52.08188877,5.170926433,3.572452229,41.03410844,1.840042167,25.7,158.4272402,0.365397297,5.577942791,884.8322754,7.485453444,14.45900822,10.41802311,6.203335285,Rn44C,grasland agrarisch,USP BLUE
1,10,19,USP,52.08194804,5.163282781,5.489666137,15.24190918,2.4048275,48.5,155.4692336,0.328176691,5.839524077,884.4345703,5.895215053,14.45474625,10.42231178,6.212876797,urban_soil,grasland agrarisch,USP DARK RED
2,1.333333333,4,USP,52.08124363,5.165544388,1.486464968,18.71546456,1.718655805,43.16666667,156.5817641,0.284036333,5.761643092,884.8322754,6.198101249,14.45474625,10.42231178,6.212876797,urban_soil,grasland agrarisch,USP DARK RED
