Canopy_height,Distance_to_path,DTM,Groundwater,Infrared,NDVI,pH,Precipitation,Soil_organic_matter,Temp_max,Temp_mean,Temp_min,Soilcode,Landcover,Location,Plotcode,filename,Quadrant_code,alpha_diversity
8,0.4,2.339900017,28,173,0.281230509,5.207746506,886.7701416,10.94491005,14.45297432,10.42335033,6.217999458,urban_soil,groenvoorziening,USP,111,USP BLUE species richness.xlsx,1,13
8,0.4,2.339900017,28,173,0.281230509,5.207746506,886.7701416,10.94491005,14.45297432,10.42335033,6.217999458,urban_soil,groenvoorziening,USP,111,USP BLUE species richness.xlsx,2,8
8,0.4,2.339900017,28,173,0.281230509,5.207746506,886.7701416,10.94491005,14.45297432,10.42335033,6.217999458,urban_soil,groenvoorziening,USP,111,USP BLUE species richness.xlsx,3,7
8,0.4,2.339900017,28,173,0.281230509,5.207746506,886.7701416,10.94491005,14.45297432,10.42335033,6.217999458,urban_soil,groenvoorziening,USP,111,USP BLUE species richness.xlsx,4,9
0,11.4,2.306810379,28,90,0.127968982,5.250756264,886.7701416,9.940976143,14.45297432,10.42335033,6.217999458,urban_soil,BGT pand,USP,112,USP BLUE species richness.xlsx,1,0
0,11.4,2.306810379,28,90,0.127968982,5.250756264,886.7701416,9.940976143,14.45297432,10.42335033,6.217999458,urban_soil,BGT pand,USP,112,USP BLUE species richness.xlsx,2,0
0,11.4,2.306810379,28,90,0.127968982,5.250756264,886.7701416,9.940976143,14.45297432,10.42335033,6.217999458,urban_soil,BGT pand,USP,112,USP BLUE species richness.xlsx,3,0
0,11.4,2.306810379,28,90,0.127968982,5.250756264,886.7701416,9.940976143,14.45297432,10.42335033,6.217999458,urban_soil,BGT pand,USP,112,USP BLUE species richness.xlsx,4,0
0,0,2.339299917,28,144,0.062511735,5.513067722,886.7701416,12.21384525,14.45297432,10.42335033,6.217999458,urban_soil,gesloten verharding,USP,113,USP BLUE species richness.xlsx,1,0
0,0,2.339299917,28,144,0.062511735,5.513067722,886.7701416,12.21384525,14.45297432,10.42335033,6.217999458,urban_soil,gesloten verharding,USP,113,USP BLUE species richness.xlsx,2,0
0,0,2.339299917,28,144,0.062511735,5.513067722,886.7701416,12.21384525,14.45297432,10.42335033,6.217999458,urban_soil,gesloten verharding,USP,113,USP BLUE species richness.xlsx,3,0
0,0,2.339299917,28,144,0.062511735,5.513067722,886.7701416,12.21384525,14.45297432,10.42335033,6.217999458,urban_soil,gesloten verharding,USP,113,USP BLUE species richness.xlsx,4,0
0,0.2,2.421200037,32,180,0.167451248,5.846543312,886.7701416,8.122056007,14.45297432,10.42335033,6.217999458,urban_soil,onverhard,USP,121,USP BLUE species richness.xlsx,1,0
0,0.2,2.421200037,32,180,0.167451248,5.846543312,886.7701416,8.122056007,14.45297432,10.42335033,6.217999458,urban_soil,onverhard,USP,121,USP BLUE species richness.xlsx,2,0
0,0.2,2.421200037,32,180,0.167451248,5.846543312,886.7701416,8.122056007,14.45297432,10.42335033,6.217999458,urban_soil,onverhard,USP,121,USP BLUE species richness.xlsx,3,0
0,0.2,2.421200037,32,180,0.167451248,5.846543312,886.7701416,8.122056007,14.45297432,10.42335033,6.217999458,urban_soil,onverhard,USP,121,USP BLUE species richness.xlsx,4,0
5,0,2.42930007,50,109,0.227968231,5.631970882,886.7701416,8.041653633,14.45297432,10.42335033,6.217999458,urban_soil,open verharding,USP,122,USP BLUE species richness.xlsx,1,0
5,0,2.42930007,50,109,0.227968231,5.631970882,886.7701416,8.041653633,14.45297432,10.42335033,6.217999458,urban_soil,open verharding,USP,122,USP BLUE species richness.xlsx,2,0
5,0,2.42930007,50,109,0.227968231,5.631970882,886.7701416,8.041653633,14.45297432,10.42335033,6.217999458,urban_soil,open verharding,USP,122,USP BLUE species richness.xlsx,3,0
