Triangle,Quadrant_code,Location,plot_mean_alphadiv,n_plots,plot_total_alphadiv,Latitude_GIS,Longitude_GIS,Canopy_Height,Distance_to_path,DTM,Groundwater,Infrared,NDVI,pH,Precipitation,Soil_Organic_Matter,Temp_max,Temp_mean,Temp_min,soilcode,landcover
2,1,Austerlitz,3,1,3,52.10657094,5.294154616,13.99282869,19.40792603,14.36380092,247,140.5517762,0.387756413,3.293352476,894.6385498,5.004255813,14.4635458,10.37996769,6.144460678,gHd30,naaldbos
2,2,Austerlitz,5,1,5,52.10657094,5.294154616,13.99282869,19.40792603,14.36380092,247,140.5517762,0.387756413,3.293352476,894.6385498,5.004255813,14.4635458,10.37996769,6.144460678,gHd30,naaldbos
2,3,Austerlitz,4,1,4,52.10657094,5.294154616,13.99282869,19.40792603,14.36380092,247,140.5517762,0.387756413,3.293352476,894.6385498,5.004255813,14.4635458,10.37996769,6.144460678,gHd30,naaldbos
2,4,Austerlitz,4,1,4,52.10657094,5.294154616,13.99282869,19.40792603,14.36380092,247,140.5517762,0.387756413,3.293352476,894.6385498,5.004255813,14.4635458,10.37996769,6.144460678,gHd30,naaldbos
3,1,Austerlitz,3,3,7,52.10522835,5.29378312,13.98802873,12.64477262,14.97219273,248,148.0464504,0.42077062,3.220545209,893.7103882,5.796209716,14.4635458,10.37996769,6.144460678,gY30,gemengd bos
3,2,Austerlitz,3,3,6,52.10522835,5.29378312,13.98802873,12.64477262,14.97219273,248,148.0464504,0.42077062,3.220545209,893.7103882,5.796209716,14.4635458,10.37996769,6.144460678,gY30,gemengd bos
3,3,Austerlitz,3.6666666666666665,3,8,52.10522835,5.29378312,13.98802873,12.64477262,14.97219273,248,148.0464504,0.42077062,3.220545209,893.7103882,5.796209716,14.4635458,10.37996769,6.144460678,gY30,gemengd bos
3,4,Austerlitz,3.3333333333333335,3,6,52.10522835,5.29378312,13.98802873,12.64477262,14.97219273,248,148.0464504,0.42077062,3.220545209,893.7103882,5.796209716,14.4635458,10.37996769,6.144460678,gY30,gemengd bos
4,1,Austerlitz,4,3,11,52.10886444,5.298683829,10.37042925,25.01135174,16.12108556,250.4285714,151.9551391,0.41153172,3.319820979,894.5500488,5.236595271,14.46323299,10.37719011,6.139938831,gHd30,gemengd bos
4,2,Austerlitz,3.3333333333333335,3,9,52.10886444,5.298683829,10.37042925,25.01135174,16.12108556,250.4285714,151.9551391,0.41153172,3.319820979,894.5500488,5.236595271,14.46323299,10.37719011,6.139938831,gHd30,gemengd bos
4,3,Austerlitz,3.6666666666666665,3,11,52.10886444,5.298683829,10.37042925,25.01135174,16.12108556,250.4285714,151.9551391,0.41153172,3.319820979,894.5500488,5.236595271,14.46323299,10.37719011,6.139938831,gHd30,gemengd bos
4,4,Austerlitz,2.3333333333333335,3,7,52.10886444,5.298683829,10.37042925,25.01135174,16.12108556,250.4285714,151.9551391,0.41153172,3.319820979,894.5500488,5.236595271,14.46323299,10.37719011,6.139938831,gHd30,gemengd bos
5,1,Austerlitz,4.333333333333333,3,9,52.10979046,5.301166482,13.38933121,19.33757514,17.21873422,252.4615385,140.518854,0.377808349,3.377373161,894.5500488,4.990535154,14.46047544,10.37423801,6.137793779,gHd30,naaldbos
